id,created_at (UTC),screen_name,text,favorite_count,retweet_count
668828879503630336,2015-11-23 16:30:05,khiggs65,100 Best High Schools In New Jersey - Is Your School On List? https://t.co/UBPhLgOuAq #greatdaytobeafalcon,5,1
669209000311934976,2015-11-24 17:40:33,MonroeFalconPD,RT @khiggs65: 100 Best High Schools In New Jersey - Is Your School On List? https://t.co/UBPhLgOuAq #greatdaytobeafalcon,0,1
669338338034384896,2015-11-25 02:14:30,kmigs12,Mill Lake representing at the PTO fundraiser @mtsdfalcons #milllakeisgreat https://t.co/ICuznyZoRm,9,1
669340421697310721,2015-11-25 02:22:46,dn23angel,All in good fun! We do anything for our students.#milllakeisgreat! https://t.co/9EmR2NjFT7,5,2
669538036280111104,2015-11-25 15:28:01,MonroeFalconPD,RT @dn23angel: All in good fun! We do anything for our students.#milllakeisgreat! https://t.co/9EmR2NjFT7,0,2
669538073580032000,2015-11-25 15:28:10,MonroeFalconPD,RT @kmigs12: Mill Lake representing at the PTO fundraiser @mtsdfalcons #milllakeisgreat https://t.co/ICuznyZoRm,0,1
669538382674944000,2015-11-25 15:29:24,MonroeFalconPD,"@dougdale1101 The Allstars won, right? #milllakeisgreat",0,0
669592302688563200,2015-11-25 19:03:40,kmigs12,Ss in Ms. Prestridge's class were on @lightbot to get a jump start on the #HourOfCode #milllakeisgreat https://t.co/RY89sRXtNV,5,0
669685525721300992,2015-11-26 01:14:06,Jwirth32,Christmas came early this year...woo hoo!!!  @LisaPaps1 @dn23angel @kmigs12 #milllakeisgreat https://t.co/FOvLRa4yHL,3,0
671512082219671552,2015-12-01 02:12:11,Jwirth32,RT @dn23angel: All in good fun! We do anything for our students.#milllakeisgreat! https://t.co/9EmR2NjFT7,0,2
671902751790469121,2015-12-02 04:04:34,rskarl,HRHS Girl's Basketball is FALCON awesome - yall are missin' out if you aren't there #GreatDayToBeAFalcon https://t.co/VyUukZWVGB,7,1
671903047849664514,2015-12-02 04:05:44,RBWHRHSAthletic,RT @rskarl: HRHS Girl's Basketball is FALCON awesome - yall are missin' out if you aren't there #GreatDayToBeAFalcon https://t.co/VyUukZWVGB,0,1
672069281568432128,2015-12-02 15:06:17,MonroeTownHS,Great night of Parent Conferences last night! 2nd evening this Thursday Dec. 3rd @ 530 PM! #GREATDAYTOBEAFALCON,1,0
672070035960107008,2015-12-02 15:09:17,MonroeFalconPD,@MonroeTownHS Glad to hear it! #greatdaytobeafalcon,0,0
672083323175366656,2015-12-02 16:02:05,khiggs65,Follow Monroe Township High School informational Twitter page #greatdaytobeafalcon https://t.co/YsSYeKSKYV,0,0
672140900823384065,2015-12-02 19:50:53,RhonnaGriffin,Hand chimes today in music! #musiced #milllakeisgreat @kmigs12 @drmkozak https://t.co/ug9FcL2C68,0,0
672217823763009536,2015-12-03 00:56:33,dr_roselle,Time to learn! #FalconPD #innovateNJ #edtech #makerspace  https://t.co/XzJe9KOkej,4,0
672220130303221760,2015-12-03 01:05:42,zach_morolda,@nmhs_lms Supervisor of Applied Arts&amp;Careers in Monroe Twp. #innovateNJ #FalconPD,1,0
672235078391619585,2015-12-03 02:05:06,MonroeFalconPD,RT @RhonnaGriffin: Hand chimes today in music! #musiced #milllakeisgreat @kmigs12 @drmkozak https://t.co/ug9FcL2C68,0,2
672244559137669120,2015-12-03 02:42:47,kmigs12,RT @RhonnaGriffin: Hand chimes today in music! #musiced #milllakeisgreat @kmigs12 @drmkozak https://t.co/ug9FcL2C68,0,2
672597682456682496,2015-12-04 02:05:58,demarcoela,#FalconPD How to Bring Global Collaboration into the 21st Century https://t.co/m53xFvoheg,0,0
672850856509837312,2015-12-04 18:51:59,MonroeFalconPD,RT @demarcoela: #FalconPD How to Bring Global Collaboration into the 21st Century https://t.co/m53xFvoheg,0,2
672851705357279232,2015-12-04 18:55:22,MonroeFalconPD,Some school hashtags for you: MTHS - #GreatDayToBeAFalcon ML - #milllakeisgreat MTMS - #FabulousFalcons OT - #There'sNoPlaceLikeOakTree,0,0
672856737435811840,2015-12-04 19:15:21,khiggs65,#greatdaytobeafalcon https://t.co/nQCBQCEGCj,0,0
672899935998734336,2015-12-04 22:07:01,sherri_k12pd,RT @RhonnaGriffin: Hand chimes today in music! #musiced #milllakeisgreat @kmigs12 @drmkozak https://t.co/ug9FcL2C68,0,3
672899965581135872,2015-12-04 22:07:08,sherri_k12pd,RT @demarcoela: #FalconPD How to Bring Global Collaboration into the 21st Century https://t.co/m53xFvoheg,0,2
672949870806855680,2015-12-05 01:25:26,dn23angel,"Making structures out of Lincoln logs, blocks, play dough and Legos. Which one is the strongest? #milllakeisgreat https://t.co/Gt6lXen1FL",2,0
673146594515136513,2015-12-05 14:27:09,MonroeFalconPD,Hmm... it looks like #GreatDayToBeAFalcon is already in pretty active use by some other groups.,0,0
673282277376266240,2015-12-05 23:26:18,dn23angel,Double digit subtraction to see if she has money left. #milllakeisgreat https://t.co/5CaFWir4Bd,1,0
673847360418639872,2015-12-07 12:51:44,MonroeFalconPD,It's Comp. Sic. Education Week. Try participating in the hour of code! https://t.co/0wO4f9Afxr Resources: https://t.co/RHnnluaPiE #FalconPD,0,0
673850280526639104,2015-12-07 13:03:21,MonroeFalconPD,New #FalconPD website with daily stats showing hashtag use and superstar tweeters: https://t.co/V3NfJP3psy. Let's see who's the most active!,0,0
674314496593276928,2015-12-08 19:47:58,StephMonroePD,Memorized by Barclay Kindergarteners fully engaged during Hour of Code https://t.co/ZKJaXNDcnI; https://t.co/fyBXX7Aotr #FalconPD,4,1
674315217514442752,2015-12-08 19:50:50,DavisMiddle,White House Ready. #OnTheWay #FabFalcons https://t.co/4UU4AqGEQu,7,2
674315219498307585,2015-12-08 19:50:51,MonroeFalconPD,RT @StephMonroePD: Memorized by Barclay Kindergarteners fully engaged during Hour of Code https://t.co/ZKJaXNDcnI; https://t.co/fyBXX7Aotr ,0,1
674716959225880576,2015-12-09 22:27:13,kmigs12,2nd graders coding #HourOfCode #milllakeisgreat awesome job Falcons! https://t.co/QMwEVq5sy4,3,0
674994396077641728,2015-12-10 16:49:39,khiggs65,@MonroeTownHS enjoyed watching Ms. Wolk's Language Arts IV class' rendition oh Hamlet scene 5 act 1. Great Job. #greatdaytobeafalcon,0,0
675054590832861185,2015-12-10 20:48:51,MTMS_Falcons,Team Venture and Evolution 6th graders working hard on their #HourOfCode projects!  #CSEdWeek #FabFalcons https://t.co/IkFJ2nc0m6,0,0
675055905705205760,2015-12-10 20:54:04,MTMS_Falcons,"7th graders from teams Quest, Inspire &amp; Discovery working hard on their #HourOfCode projects!  #CSEdWeek #FabFalcons https://t.co/UBOnAI68lz",0,0
675074150189408256,2015-12-10 22:06:34,kmigs12,Mill Lake teachers having a blast coding! #HourOfCode #milllakeisgreat https://t.co/teFUo28D4f,8,3
675128610072739842,2015-12-11 01:42:58,zach_morolda,RT @kmigs12: Mill Lake teachers having a blast coding! #HourOfCode #milllakeisgreat https://t.co/teFUo28D4f,0,3
675143684019642369,2015-12-11 02:42:52,Jwirth32,RT @kmigs12: Mill Lake teachers having a blast coding! #HourOfCode #milllakeisgreat https://t.co/teFUo28D4f,0,3
675150666499796993,2015-12-11 03:10:37,mcclark3,RT @kmigs12: Mill Lake teachers having a blast coding! #HourOfCode #milllakeisgreat https://t.co/teFUo28D4f,0,3
675330872820764674,2015-12-11 15:06:41,zach_morolda,Ms. Montgomery's 6th Grade Computer cycle getting into the mix!  #mtsdcareerstech #fabfalcons #HourOfCode  https://t.co/abdFEP3ppx,1,0
